epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.4196,0.94419,0.91033,1,0.25385,0.000368321,0.000368321,0.000368321
2,64.7064,0.37708,0.91848,1,0.22495,0.000702091,0.000702091,0.000702091
3,81.1442,0.29396,0.93071,1,0.21747,0.000999198,0.000999198,0.000999198
4,97.318,0.31835,0.93342,1,0.21635,0.000946016,0.000946016,0.000946016
5,113.886,0.2675,0.92799,1,0.23787,0.000891022,0.000891022,0.000891022
6,129.912,0.21218,0.94293,1,0.20737,0.000836027,0.000836027,0.000836027
7,145.792,0.20067,0.94022,1,0.19395,0.000781033,0.000781033,0.000781033
8,161.646,0.16038,0.94565,1,0.15358,0.000726038,0.000726038,0.000726038
9,177.481,0.15887,0.94701,1,0.16765,0.000671044,0.000671044,0.000671044
10,193.226,0.11026,0.95245,1,0.17267,0.000616049,0.000616049,0.000616049
11,208.941,0.12409,0.94837,1,0.16123,0.000561055,0.000561055,0.000561055
12,224.55,0.11461,0.94973,1,0.17079,0.00050606,0.00050606,0.00050606
13,240.317,0.10063,0.9538,1,0.14941,0.000451066,0.000451066,0.000451066
14,255.947,0.06934,0.95652,1,0.14221,0.000396071,0.000396071,0.000396071
15,272.61,0.07259,0.95245,1,0.15293,0.000341077,0.000341077,0.000341077
16,288.333,0.07342,0.9538,1,0.16525,0.000286083,0.000286083,0.000286083
17,304.52,0.06212,0.95788,1,0.1459,0.000231088,0.000231088,0.000231088
18,325.551,0.05182,0.95652,1,0.15269,0.000176094,0.000176094,0.000176094
19,349.411,0.05563,0.96332,1,0.14707,0.000121099,0.000121099,0.000121099
20,368.027,0.04959,0.95652,1,0.15161,6.61045e-05,6.61045e-05,6.61045e-05
